"Code","location"
"JFZ","fze"
"JFZ","naaffco"
"JFZ","blue shed"
"JFZ","tranzone"
"JFZ","daimler chrysler st"
"JFZ","daimler chrysler street"
"JFZ","free zone north"
"JFZ","jafza"
"JFZ","dmcc"
"JFZ","jebel ali"
"JFZ","Jebal ali"
"SHJ","ajman industrial"
"SHJ","al jurf industrial"
"SHJ","jurf"
"SHJ","al sohra"
"SHJ","naimia"
"SHJ","bustan"
"SHJ","rashidya"
"SHJ","ajman free zone"
"SHJ","mushrif"
"SHJ","nakheel"
"SHJ","ajman cornich"
"SHJ","romaila"
"SHJ","muwaihat"
"SHJ","rawda"
"SHJ","hamidiya"
"SHJ","emirates city"
"SHJ","yasmeen"
"SHJ","hamriyah town"
"SHJ","muntazim"
"SHJ","helio"
"SHJ","zahiya"
"SHJ","ragayab"
"SHJ","shj industrial"
"SHJ","sajjah"
"SHJ","atain brashi"
"SHJ","emirates industrial"
"SHJ","muweilah"
"SHJ","zaya"
"SHJ","al jadah"
"SHJ","jurena"
"SHJ","noaf"
"SHJ","grayan"
"SHJ","shj airport"
"SHJ","siyoh"
"SHJ","hoshi"
"SHJ","rahmania"
"SHJ","al khan"
"SHJ","majaz"
"SHJ","khalid port"
"SHJ","mjaz"
"SHJ","jamal abdul nasar"
"SHJ","al nahda sharjah"
"SHJ","al tawoon"
"SHJ","al mamzar"
"SHJ","qasba"
"SHJ","rolla"
"SHJ","al soor"
"SHJ","musallah"
"SHJ","shargan"
"SHJ","qolaya"
"SHJ","mahata"
"SHJ","budanique"
"SHJ","yarmouk"
"SHJ","abu shagara"
"SHJ","ghobaiba"
"SHJ","samnan"
"SHJ","al wan"
"SHJ","darari"
"SHJ","shahbah"
"SHJ","turfah"
"SHJ","mohafja"
"SHJ","suq al haraj"
"SHJ","eliyash"
"SHJ","sharqan"
"SHJ","riffa"
"SHJ","sabkha"
"SHJ","budaniq"
"SHJ","feha"
"SHJ","jazat"
"SHJ","fujairah port"
"SHJ","fujairah freezone"
"SHJ","sakamkam"
"SHJ","merbah"
"SHJ","qidfah"
"SHJ","khorfakhan"
"SHJ","dibba"
"SHJ","fujairah city"
"SHJ","dhaid"
"SHJ","masafi"
"SHJ","al hail"
"SHJ","kalba"
"SHJ","madam sharjah"
"SHJ","bataya"
"SHJ","masfooth"
"SHJ","monai"
"SHJ","falaj al mulla"
"SHJ","sharjah industrial area"
"SHJ","industrial area sharjah"
"SHJ","maliha street"
"SHJ","maleha street"
"SHJ","muwailih"
"SHJ","sharjah int. airport"
"SHJ","king faisal road"
"SHJ","ajman"
"SHJ","al taawun"
"SHJ","king faisal street"
"SHJ","al zahia"
"SHJ","muwaileh"
"SHJ","king faisal rd"
"SHJ","alsajaa"
"SHJ","muwailah"
"SHJ","mega mall"
"SHJ","sharjah coop building"
"SHJ","buhaira corniche"
"SHJ","buheira corniche"
"SHJ","national paints"
"SFZ","sfz free zone"
"SFZ","sharjah free zone"
"SFZ","saif zone"
"SFZ","sharjah airport free zone"
"RAK","julan"
"RAK","julfar"
"RAK","rams shaam"
"RAK","wadi galila"
"RAK","shamal"
"RAK","al jeer"
"RAK","khor khair"
"RAK","nakeel city"
"RAK","mareed"
"RAK","mamoora"
"RAK","algoub"
"RAK","rak industrial area"
"RAK","rak free zone"
"RAK","al hamra "
"RAK","qusaidath"
"RAK","burierat"
"RAK","oribiya"
"RAK","falaya"
"RAK","hudaaiba"
"RAK","dahan"
"RAK","khuzam"
"RAK","julphar tower"
"RAK","old rak"
"RAK","cornish quasim"
"RAK","cove rotana hotel"
"RAK","al daith"
"RAK","kharan"
"RAK","alhail"
"RAK","seih al haraf"
"RAK","digdaga"
"RAK","hamraniya"
"RAK","fahlain"
"RAK","suhaila"
"RAK","assadi"
"RAK","al khatt"
"RAK","al ghail"
"RAK","adan"
"RAK","shk khalifa hstpl"
"RAK","shk khalifa hospital"
"RAK","sheikh khalifa hospital"
"RAK","sheikh khalifa hstpl"
"RAK","ritz carlton hotel"
"RAK","jazeera al hamra"
"RAK","mena al arab"
"RAK","rifaa"
"RAK","raffa"
"RAK","nifa"
"RAK","ramla"
"RAK","rak marina"
"RAK","marjan island"
"RAK","ras al khaimah"
"RAK","ras al khaimah marina"
"RAK","rak"
"MEY","abu hail"
"MEY","ac market"
"MEY","academic city"
"MEY","al badia"
"MEY","al maktoum hospital"
"MEY","al nahda"
"MEY","al nakheel road"
"MEY","al rafa"
"MEY","al raffa police station"
"MEY","al ras"
"MEY","al warqa"
"MEY","al khail"
"MEY","al dhagaya"
"MEY","al gooroub"
"MEY","al gubaiba bus station"
"MEY","al muteena"
"MEY","al naboodah"
"MEY","al qusais"
"MEY","al rashidiyah area"
"MEY","al sourooq"
"MEY","al warsan"
"MEY","rashidiya"
"MEY","al waha compound"
"MEY","al barsha"
"MEY","al barsha south"
"MEY","al safa"
"MEY","al badaa"
"MEY","al barari"
"MEY","majan"
"MEY","al qouz pond park villas"
"MEY","al sufouh"
"MEY","arabian ranches"
"MEY","auto market"
"MEY","azizi rivera"
"MEY","city walk"
"MEY","damac hills akoya oxygen"
"MEY","dhl meydan side areas"
"MEY","the fields"
"MEY","la cote"
"MEY","dry docks"
"MEY","world trade center"
"MEY","address boulevard"
"MEY","al habtoor city"
"MEY","al jaddaf"
"MEY","al manara tower"
"MEY","al qouz"
"MEY","aspect tower"
"MEY","bay gate tower"
"MEY","bay square"
"MEY","binary tower"
"MEY","blue bay tower"
"MEY","boulevard plaza"
"MEY","burj khalifa"
"MEY","dusit thani"
"MEY","oasis tower"
"MEY","burlington tower"
"MEY","al wuhaida"
"MEY","ambulance area"
"MEY","ayal naser"
"MEY","wafi mall"
"MEY","bur dubai"
"MEY","burjuman"
"MEY","cargo village"
"MEY","china market"
"MEY","clock tower"
"MEY","consulate area"
"MEY","deira city centre"
"MEY","desert palm"
"MEY","dragon mart"
"MEY","dubai creek harbour"
"MEY","dubai flower centre"
"MEY","dubai museum"
"MEY","emirates hq"
"MEY","festival city"
"MEY","fikree market"
"MEY","garhoud"
"MEY","al twar"
"MEY","dry port"
"MEY","ras al khor"
"MEY","dubai hills mall"
"MEY","dubai hills"
"MEY","dubai land"
"MEY","dubai science park"
"MEY","ducamz"
"MEY","fruit vegetable market"
"MEY","hudaiba"
"MEY","internet city"
"MEY","jafliya"
"MEY","jumeirah"
"MEY","jumeirah garden city"
"MEY","king abdul aziz st"
"MEY","knowledge village"
"MEY","rukan community"
"MEY","la mer"
"MEY","box park"
"MEY","citadel tower"
"MEY","design district"
"MEY","difc"
"MEY","dnata building"
"MEY","double tree by hilton"
"MEY","downtown"
"MEY","dubai mall"
"MEY","dwtc"
"MEY","emaar square"
"MEY","emirates holiday"
"MEY","empire heights"
"MEY","executive towers"
"MEY","saqr tower"
"MEY","rolex tower"
"MEY","exchange tower"
"MEY","gold souq"
"MEY","golden sand"
"MEY","hamriya"
"MEY","union metro"
"MEY","healthcare city"
"MEY","hor al anz"
"MEY","horlanz east"
"MEY","international city"
"MEY","karama"
"MEY","al kawaneej"
"MEY","al khabaisi"
"MEY","makhool"
"MEY","mamzar"
"MEY","meena bazar"
"MEY","mirdif"
"MEY","mizhar"
"MEY","muhaisnah"
"MEY","al muraqqabat"
"MEY","murshid bazar"
"MEY","nad al shama"
"MEY","frij al murar"
"MEY","layan community"
"MEY","liwan q point"
"MEY","manara resid"
"MEY","maritime city"
"MEY","mbr city"
"MEY","media city"
"MEY","meydan heights"
"MEY","millennium estate"
"MEY","mira"
"MEY","mira oasis"
"MEY","nad al sheba"
"MEY","outlet mall"
"MEY","palm jumeirah"
"MEY","pearl jumeirah"
"MEY","polo residence"
"MEY","camelia"
"MEY","port rashid"
"MEY","murroj rotana"
"MEY","wasl square"
"MEY","millennium plaza"
"MEY","exhibition hall"
"MEY","ibt tower"
"MEY","imperial tower"
"MEY","iris bay"
"MEY","marquise square"
"MEY","metropolis tower"
"MEY","millennium atria tower"
"MEY","one by ominiyat"
"MEY","ontario tower"
"MEY","opal tower"
"MEY","opus tower"
"MEY","sky tower"
"MEY","jumeirah tower"
"MEY","park gate"
"MEY","naif"
"MEY","nasar square"
"MEY","oud metha"
"MEY","oud al muteena"
"MEY","outsource zone"
"MEY","palm deira"
"MEY","port saeed"
"MEY","ras al khor complex"
"MEY","rigga al buteena"
"MEY","rigga"
"MEY","silicon oasis"
"MEY","sonapur"
"MEY","souq al marfa"
"MEY","textile city"
"MEY","textile market"
"MEY","um ramool"
"MEY","umm hurair"
"MEY","nad al hamar"
"MEY","business bay"
"MEY","sheikh zayed road"
"MEY","satwa"
"MEY","serena casa dora"
"MEY","bella casa"
"MEY","sky court"
"MEY","shoba hartland"
"MEY","sustainable city"
"MEY","umm al sheif"
"MEY","umm suqeim"
"MEY","villa lantana"
"MEY","wasl port view"
"MEY","wasl road"
"MEY","wasl area"
"MEY","the villa"
"MEY","villanova"
"MEY","meydan south"
"MEY","jumeirah bay island"
"MEY","nikki beach"
"MEY","dubai harbour"
"MEY","ghaya tower"
"MEY","prism tower"
"MEY","shoba ivory"
"MEY","silver tower"
"MEY","single business tower"
"MEY","world trade center"
"MEY","sol bay"
"MEY","taj hotel"
"MEY","tamani arts"
"MEY","tiara east west"
"MEY","ubora tower"
"MEY","vision tower"
"MEY","zabeel"
"MEY","jaddaf"
"MEY","al quoz"
"MEY","mizher"
"MEY","arjan"
"MEY","silicone oasis"
"MEY","jadaf"
"MEY","al manara street"
"MEY","dubai international fin. center"
"MEY","dubai flower center"
"MEY","financial center road"
"MEY","umm ramoul"
"MEY","dubai international financial centre"
"MEY","al khawaneej"
"MEY","liwan"
"MEY","dubai financial center"
"MEY","beirut street"
"MEY","al fattan plaza"
"MEY","deira"
"MEY","umm squeim"
"MEY","union square"
"MEY","diera"
"MEY","alkhwaneej"
"MEY","gevora hotel"
"MEY","deria"
"MEY","silicon oasi"
"MEY","meydan ave"
"MEY","sheikh mohammad bin rashid boulevard"
"MEY","meydan"
"MEY","address fountain views"
"MEY","nad al shaba"
"MEY","nad al shiba"
"MEY","aqouz"
"MEY","creek harbour"
"MEY","al quasis"
"MEY","al mizhir"
"MEY","nad alhammar"
"MEY","barsha south"
"MEY","alqusis"
"MEY","damascus st"
"MEY","damascus street"
"MEY","salahuddin road"
"MEY","khaled bin waleed"
"MEY","khalid bin al waleed"
"MEY","al khabeesi"
"MEY","nadd al-hamar"
"MEY","aspin tower"
"MEY","sheykh zayed road"
"MEY","nadd al hamar"
"MEY","umm ramool"
"MEY","hessa street"
"MEY","zaabeel"
"MEY","burj residence"
"MEY","warsan"
"FJR","fujairah"
"FJR","khor fakkan"
"ALN","al ain"
"HFZ","hamriya free zone"
"HFZ","hamriyah free zone"
"HFZ","hamriya freezone"
"HFZ","hamriyah freezone"
"ALN","al ain"
"DFZ","dubai airport free zone"
"ASC","abu dhabi"
"ASC","khalifa city"
"ASC","al wahda mall"
"ASC","al bhateen"
"ASC","al bateen"
"ASC","mohamed bin zayed city"
